,precision,recall,f1-score,support
Accountants,1.0,1.0,1.0,114.0
Actors,1.0,1.0,1.0,96.0
Actuaries,1.0,1.0,1.0,90.0
Acupuncturists,1.0,1.0,1.0,104.0
Acute Care Nurses,1.0,1.0,1.0,96.0
Adapted Physical Education Specialists,1.0,1.0,1.0,99.0
Adhesive Bonding Machine Operators and Tenders,1.0,1.0,1.0,118.0
"Administrative Law Judges, Adjudicators, and Hearing Officers",1.0,1.0,1.0,92.0
Administrative Services Managers,1.0,1.0,1.0,106.0
Adult Basic and Secondary Education and Literacy Teachers and Instructors,1.0,1.0,1.0,109.0
Advanced Practice Psychiatric Nurses,1.0,1.0,1.0,103.0
Advertising Sales Agents,1.0,1.0,1.0,128.0
Advertising and Promotions Managers,1.0,1.0,1.0,112.0
Aerospace Engineering and Operations Technicians,1.0,1.0,1.0,73.0
Aerospace Engineers,1.0,1.0,1.0,117.0
"Agents and Business Managers of Artists, Performers, and Athletes",1.0,1.0,1.0,104.0
Agricultural Engineers,1.0,1.0,1.0,114.0
Agricultural Equipment Operators,1.0,1.0,1.0,99.0
Agricultural Inspectors,1.0,1.0,1.0,109.0
"Agricultural Sciences Teachers, Postsecondary",1.0,1.0,1.0,111.0
Agricultural Technicians,1.0,1.0,1.0,119.0
Air Traffic Controllers,1.0,1.0,1.0,98.0
Aircraft Cargo Handling Supervisors,1.0,1.0,1.0,121.0
Aircraft Mechanics and Service Technicians,1.0,1.0,1.0,116.0
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",1.0,1.0,1.0,108.0
Airfield Operations Specialists,1.0,1.0,1.0,86.0
"Airline Pilots, Copilots, and Flight Engineers",1.0,1.0,1.0,116.0
Allergists and Immunologists,1.0,1.0,1.0,93.0
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",1.0,1.0,1.0,107.0
Amusement and Recreation Attendants,1.0,1.0,1.0,96.0
Anesthesiologist Assistants,1.0,1.0,1.0,95.0
Anesthesiologists,1.0,1.0,1.0,90.0
Animal Breeders,1.0,1.0,1.0,99.0
Animal Control Workers,1.0,1.0,1.0,107.0
Animal Scientists,1.0,1.0,1.0,92.0
Animal Trainers,1.0,1.0,1.0,103.0
Anthropologists,1.0,1.0,1.0,93.0
"Anthropology and Archeology Teachers, Postsecondary",1.0,1.0,1.0,115.0
"Appraisers, Real Estate",1.0,1.0,1.0,118.0
